add,bath,bed,car,desc,features,headline,id,lat,lon,photo,postcode,price,street,suburb,type,url,url2,date,min_price,max_price
"184 Pretoria Parade, Hornsby",2.0,3.0,1.0,"<b></b><br />Our homes are still open, but by private appointment only. Please contact Mark Seymour 0412 535 364 to arrange your private time slot within the advertised open home time. 

If you are a first home buyer this bright split level 3 bedroom...","['AirConditioning', 'Ensuite', 'InternalLaundry', 'NorthFacing', 'Dishwasher', 'SolarPanels']",Tranquil Bush Setting,2017095294.0,-33.7037468,151.081863,https://bucket-api.domain.com.au/v1/bucket/image/2017095294_1_1_210625_012806-w3600-h2398,2077,"Auction Saturday 24 July, 5:45pm",Pretoria Parade,HORNSBY,House,https://www.domain.com.au/184-pretoria-parade--hornsby-2077-2017095294,https://www.domain.com.au/184-pretoria-parade-hornsby-nsw-2077-2017095294,2021-07-10,,
"8/7-11 Webb Avenue, Hornsby",2.0,3.0,1.0,"<b></b><br />Modern and stylish townhouse living

You'll love being so close to everything Hornsby has to offer in this ultra-convenient, well-apportioned townhouse. Situated at the rear of the complex, quietly off the street, this 3 bedroom, 2.5 bat...","['AirConditioning', 'BuiltInWardrobes', 'Floorboards', 'Gas', 'SecureParking', 'Dishwasher']",Open home cancelled - replaced with private one-on-one inspections - please book with agent,2017093378.0,-33.7057953,151.095108,https://bucket-api.domain.com.au/v1/bucket/image/2017093378_1_1_210624_042443-w6192-h4128,2077,Auction on site unless sold prior,Webb Avenue,HORNSBY,Townhouse,https://www.domain.com.au/8-7-11-webb-avenue--hornsby-2077-2017093378,https://www.domain.com.au/8-7-11-webb-avenue-hornsby-nsw-2077-2017093378,2021-07-10,,
"165 Pretoria Parade, Hornsby",2.0,5.0,2.0,"<b></b><br />Our homes are still open, but by private appointment only. Please contact Jaime Garrick 0434 538 368 or Eddie Yiu 0416 128 229 to arrange your private inspection within an allotted time.

Flexible family living and relaxed entertaining i...",['Dishwasher'],Stylish renovations and flexible family living,2017078379.0,-33.7046623,151.083191,https://bucket-api.domain.com.au/v1/bucket/image/2017078379_1_1_210617_060814-w6192-h4128,2077,"Guide $1,600,000",Pretoria Parade,HORNSBY,House,https://www.domain.com.au/165-pretoria-parade--hornsby-2077-2017078379,https://www.domain.com.au/165-pretoria-parade-hornsby-nsw-2077-2017078379,2021-07-10,1600000.0,1600000.0
"25 Clovelly Road, Hornsby",3.0,5.0,2.0,"<b></b><br />Our homes are still able to be inspected by private appointment on a one-by-one basis. Please contact Jaime Garrick 0434 538 368 or Eddie Yiu 0416 128 229 to arrange your private time slot. 

A complete family home package that encapsula...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'Bath', 'Dishwasher']","Sun-Lit, Warm and Inviting Family Home",2017078303.0,-33.70975,151.091766,https://bucket-api.domain.com.au/v1/bucket/image/2017078303_5_1_210617_055944-w6192-h4128,2077,"Auction Saturday 31 July, 5.15pm",Clovelly Road,HORNSBY,House,https://www.domain.com.au/25-clovelly-road--hornsby-2077-2017078303,https://www.domain.com.au/25-clovelly-road-hornsby-nsw-2077-2017078303,2021-07-10,,
"70 King Road, Hornsby",2.0,3.0,2.0,"<b></b><br />An excellent next step for families and a perfect alternative to typical townhouse and apartment style living

This light filled modern free-standing home is ready to enjoy and offers minimal maintenance costs and the various other benefit...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'Bath', 'Dishwasher', 'SolarPanels']",MODERN COMFORT VIEWS - CONVENIENTLY LOCATED,2017064042.0,-33.7001038,151.1149,https://bucket-api.domain.com.au/v1/bucket/image/2017064042_1_1_210610_040546-w1802-h1200,2077,Auction Sun 11th Jul 10:00am - Under contract,King Road,HORNSBY,House,https://www.domain.com.au/70-king-road--hornsby-2077-2017064042,https://www.domain.com.au/70-king-road-hornsby-nsw-2077-2017064042,2021-07-10,,
"9/15-17 Forbes Street, Hornsby",2.0,3.0,2.0,"<b></b><br />Our homes are still able to be inspected by private appointment on a one-by-one basis. Please contact Eddie Yiu 0416 128 229 to arrange your private time slot. 

Superbly located in one of Hornsby's most convenient streets - Forbes Stree...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'PetsAllowed', 'SecureParking', 'NorthFacing', 'BroadbandInternetAccess', 'Bath', 'SeparateDiningRoom', 'Heating', 'Dishwasher', 'Study', 'FullyFenced', 'WallCeilingInsulation', 'GardenCourtyard']",Under Contract,2017040608.0,-33.70645,151.096924,https://bucket-api.domain.com.au/v1/bucket/image/2017040608_1_1_210531_050243-w3600-h2400,2077,Under Contract,Forbes Street,HORNSBY,Townhouse,https://www.domain.com.au/9-15-17-forbes-street--hornsby-2077-2017040608,https://www.domain.com.au/9-15-17-forbes-street-hornsby-nsw-2077-2017040608,2021-07-10,,
"2/19 Old Berowra road, Hornsby",2.0,3.0,2.0,"<b></b><br />Hornsby North Catchment
Highly sought-after location.
Open by Saturday inspection' by appointment to come in the week

Air Conditioning
Balcony
Built-in Robes
Courtyard
Dishwasher
Ensuite
Floorboards
Fully Fenced
Gas Heating
Intercom
Livin...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'SecureParking', 'Intercom', 'Heating', 'Dishwasher', 'FullyFenced']",Townhouses Off Plan,2016885978.0,-33.6894226,151.099838,https://bucket-api.domain.com.au/v1/bucket/image/2016832828_5_1_210301_035119-w2552-h1636,2077,CONTACT AGENT,Old Berowra road,HORNSBY,Townhouse,https://www.domain.com.au/2-19-old-berowra-road--hornsby-2077-2016885978,https://www.domain.com.au/2-19-old-berowra-road-hornsby-nsw-2077-2016885978,2021-07-10,,
"4/19 Old Berowra Road, Hornsby",2.0,3.0,2.0,"<b></b><br />Hornsby North Catchment
 Highly sought-after location.
Open by Saturday inspection' at Century 21 , 8 Wattle Street Asquith.


Air Conditioning
Balcony
Built-in Robes
Courtyard
Dishwasher
Ensuite
Floorboards
Fully Fenced
Gas Heating
Interc...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'SecureParking', 'Intercom', 'Heating', 'Dishwasher', 'FullyFenced']",Townhouses Off Plan in the Hornsby North Catchment,2016878866.0,-33.6894226,151.099838,https://bucket-api.domain.com.au/v1/bucket/image/2016832828_5_1_210301_035119-w2552-h1636,2077,CONTACT AGENT,Old Berowra Road,HORNSBY,Townhouse,https://www.domain.com.au/4-19-old-berowra-road--hornsby-2077-2016878866,https://www.domain.com.au/4-19-old-berowra-road-hornsby-nsw-2077-2016878866,2021-07-10,,
"3/19 Old Berowra road, Hornsby",2.0,3.0,2.0,"<b></b><br />Townhouses in highly sought-after location.
Hornsby North Catchment
Please make your appointment to come in the week 

Air Conditioning
Balcony
Built-in Robes
Courtyard
Dishwasher
Ensuite
Floorboards
Fully Fenced
Gas Heating
Intercom
Livin...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'SecureParking', 'Intercom', 'Heating', 'Dishwasher', 'FullyFenced']",Townhouses in highly sought after location,2016832828.0,-33.6894226,151.099838,https://bucket-api.domain.com.au/v1/bucket/image/2016832828_4_1_210301_035119-w2548-h1640,2077,CONTACT AGENT,Old Berowra road,HORNSBY,Townhouse,https://www.domain.com.au/3-19-old-berowra-road--hornsby-2077-2016832828,https://www.domain.com.au/3-19-old-berowra-road-hornsby-nsw-2077-2016832828,2021-07-10,,
"8/24-26 Citrus Ave, Hornsby",3.0,3.0,2.0,"<b></b><br />Developcorp is proud to announce the commencement of this superb project of prestigious townhouses. Ranging in price from $1,175,000-1,230,000.

On offer is a selection of 12 superb townhouses architecturally designed and consisting of u...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'SecureParking', 'AlarmSystem', 'Intercom', 'BroadbandInternetAccess', 'Dishwasher', 'GardenCourtyard', 'BalconyDeck']",Superb New Project,2016544899.0,-33.69323,151.1008,https://bucket-api.domain.com.au/v1/bucket/image/2016544899_1_1_201009_054632-w2000-h1500,2077,"$1,175,000 to $1,235,000",Citrus Ave,HORNSBY,Townhouse,https://www.domain.com.au/8-24-26-citrus-ave--hornsby-2077-2016544899,https://www.domain.com.au/8-24-26-citrus-ave-hornsby-nsw-2077-2016544899,2021-07-10,1175000.0,1235000.0
